sl_no,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
66,U001,200772670,ASSOCIAT associates,46:34.2,2020,1930819529,00:00.0,00:00.0,00:00.0,NAU5,30900.83,0-15
67,U001,200772670,ASSOCIAT us,11:00.7,2020,1930736164,00:00.0,00:00.0,00:00.0,NAU5,65843.26,0-15
68,U001,200706844,WINC foundation,49:45.1,2020,1930599854,00:00.0,00:00.0,00:00.0,NAA8,359.44,0-15
69,U001,100043975,JAVA ,22:25.9,2020,1930740345,00:00.0,00:00.0,00:00.0,NAA8,1427.36,0-15
70,U001,200762301,C&S WH in,40:49.7,2020,1930592552,00:00.0,00:00.0,00:00.0,NAC6,99091.71,0-15
71,U001,200148860,DOLLA associates,29:25.3,2020,1930732920,00:00.0,00:00.0,00:00.0,NAGD,6543.44,
72,CA02,100027744,OMEGA AD in,59:19.7,2020,2960635652,00:00.0,00:00.0,00:00.0,CAB1,5557.65,16-30
73,U001,100031704,DELHAIZE co,41:08.1,2020,1930585468,00:00.0,00:00.0,00:00.0,NAA8,106394.18,
74,U001,200799420,HT HA foundation,39:19.6,2020,1930703225,00:00.0,00:00.0,00:00.0,NAA8,801.1,0-15
75,U001,200974851,RESTA systems,08:38.1,2020,1930706997,00:00.0,00:00.0,00:00.0,NAA8,3566.69,0-15
76,U001,200769623,WAL-MAR in,43:04.0,2020,1930830709,00:00.0,00:00.0,00:00.0,NAH4,8885.57,0-15
77,U001,200793568,SUPE llc,39:14.2,2020,1930630388,00:00.0,00:00.0,00:00.0,NAA8,15893.27,0-15
78,U001,200759878,SA foundation,02:53.9,2020,1930609945,00:00.0,00:00.0,00:00.0,NAH4,70180.8,0-15
79,U001,200712187,SPAR in,08:00.5,2020,1930806222,00:00.0,00:00.0,00:00.0,NAA8,119384.36,0-15
80,U001,100047532,KEYSTON associates,08:10.1,2020,1930592834,00:00.0,00:00.0,00:00.0,NAA8,11852.54,16-30
81,U001,200794332,COST co,31:27.2,2020,1930562584,00:00.0,00:00.0,00:00.0,NA84,11225.42,0-15
82,U001,200148860,DOLLA associates,12:21.5,2020,1930699340,00:00.0,00:00.0,00:00.0,NAGD,5456.75,
83,U001,200794332,COST llc,39:37.7,2020,1930862420,00:00.0,00:00.0,00:00.0,NAAX,81500.86,0-15
84,U001,200555117,BURR trust,25:46.3,2020,1930709963,00:00.0,00:00.0,00:00.0,NAA8,749.14,
85,U001,200769623,WAL-MAR in,27:04.6,2020,1930878284,00:00.0,00:00.0,00:00.0,NAH4,2219.89,0-15
86,U001,200772670,ASSOCIAT corp,49:15.7,2020,1930683241,00:00.0,00:00.0,00:00.0,NAU5,15489.78,
87,U001,200707822,PUBLI corporation,01:49.6,2020,1930857983,00:00.0,00:00.0,00:00.0,NAA8,126107.91,0-15
88,CA02,140104392,FLANAG us,51:03.1,2020,2960619205,00:00.0,00:00.0,00:00.0,CA10,2853.7881,0-15
89,U001,200769623,WAL-MAR corp,39:55.1,2020,1930831780,00:00.0,00:00.0,00:00.0,NAH4,11545.38,0-15
90,U001,200759878,SA systems,25:05.6,2020,1930717567,00:00.0,00:00.0,00:00.0,NAH4,47646.57,0-15
91,U001,200705742,DOT foundation,20:18.7,2020,1930581678,00:00.0,00:00.0,00:00.0,NAA8,5932.51,
92,U001,200793568,SUPE trust,48:59.6,2020,1930690537,00:00.0,00:00.0,00:00.0,NAA8,1635.76,0-15
93,U001,200726979,BJ'S  ,44:24.6,2020,1930646128,00:00.0,00:00.0,00:00.0,NAA8,1286.3,0-15
94,U001,200704858,WAKE corp,29:32.7,2020,1930762384,00:00.0,00:00.0,00:00.0,NAA8,99568.42,0-15
95,U001,200780383,MEIJ in,08:55.9,2020,1930665025,00:00.0,00:00.0,00:00.0,NAA8,3612.63,0-15
96,U001,200762301,C&S WH associates,26:19.0,2020,1930778021,00:00.0,00:00.0,00:00.0,NAC6,102276.04,0-15
97,CA02,140106271,LONGO  in,31:51.3,2020,2960626604,00:00.0,00:00.0,00:00.0,CA10,9723.1541,0-15
98,CA02,140104423,METRO  us,27:38.6,2020,2960628851,00:00.0,00:00.0,00:00.0,CA10,50852.9162,0-15
99,U001,200741174,M B  co,59:15.4,2020,1930657267,00:00.0,00:00.0,00:00.0,NAA8,5767.83,0-15
100,CA02,100030194,AMAZO llc,21:13.2,2020,2960622411,00:00.0,00:00.0,00:00.0,CA10,11118.3099,0-15
101,U001,200769623,WAL-MAR trust,57:43.2,2020,1930720012,00:00.0,00:00.0,00:00.0,NAH4,42379.83,0-15
102,U001,200592182,DECA in,47:15.7,2020,1930822583,00:00.0,00:00.0,00:00.0,NAM4,1761.84,
103,U001,200743996,STATER  co,00:13.8,2020,1930686889,00:00.0,00:00.0,00:00.0,NAA8,94612.03,0-15
104,U001,200769623,WAL-MAR in,29:30.1,2020,1930787980,00:00.0,00:00.0,00:00.0,NAH4,22226.35,0-15
105,U001,200749782,KROG associates,47:54.7,2020,1930822131,00:00.0,00:00.0,00:00.0,NAA8,88502.01,0-15
106,U001,200744019,TARG corp,21:38.9,2020,1930641073,00:00.0,00:00.0,00:00.0,NAGD,1982.06,0-15
107,U001,200769623,WAL-MAR foundation,36:13.0,2020,1930804577,00:00.0,00:00.0,00:00.0,NAH4,2326.08,0-15
108,U001,200705742,DOT us,14:06.4,2020,1930592413,00:00.0,00:00.0,00:00.0,NAA8,9822.38,
109,U001,200744019,TARG trust,39:56.9,2020,1930857489,00:00.0,00:00.0,00:00.0,NAA8,29592.42,0-15
110,U001,200772670,ASSOCIAT associates,11:43.7,2020,1930739252,00:00.0,00:00.0,00:00.0,NAU5,47903.76,0-15
111,U001,200769623,WAL-MAR corporation,17:22.0,2020,1930692953,00:00.0,00:00.0,00:00.0,NAH4,1898.9,0-15
112,U001,200900909,SYSCO in,18:06.7,2020,1930741081,00:00.0,00:00.0,00:00.0,NAA8,7524.17,0-15
113,U001,200424504,M  in,11:00.2,2020,1930830032,00:00.0,00:00.0,00:00.0,NACG,2428.04,0-15
114,U001,100031704,DELHAIZE trust,45:14.4,2020,1930794735,00:00.0,00:00.0,00:00.0,NAGD,1176.59,0-15
115,U001,200764795,SYSCO  us,05:26.0,2020,1930637455,00:00.0,00:00.0,00:00.0,NA32,10978.51,0-15
116,U001,200337148,COAS systems,21:35.1,2020,1930587342,00:00.0,00:00.0,00:00.0,NAA8,45127.79,0-15
117,U001,200416837,DEC llc,49:37.5,2020,1930599382,00:00.0,00:00.0,00:00.0,NAM4,398.16,0-15
118,U001,200769623,WAL-MAR llc,57:11.9,2020,1930623646,00:00.0,00:00.0,00:00.0,NAH4,58726.21,0-15
119,U001,200726979,BJ'S  associates,29:18.6,2020,1930645815,00:00.0,00:00.0,00:00.0,NAA8,588.49,0-15
120,U001,200721222,GO us,54:32.8,2020,1930800642,00:00.0,00:00.0,00:00.0,NAA8,25685.07,0-15
121,U001,200772595,SAFEW corporation,09:32.6,2020,1930729101,00:00.0,00:00.0,00:00.0,NAA8,10020.14,
122,U001,200820380,SMITH'S trust,46:45.7,2020,1930716191,00:00.0,00:00.0,00:00.0,NAA8,48022.97,0-15
123,U001,200793568,SUPE corporation,18:40.6,2020,1930779652,00:00.0,00:00.0,00:00.0,NAA8,36623.03,0-15
124,U001,200706844,WINC corp,45:45.2,2020,1930732708,00:00.0,00:00.0,00:00.0,NAA8,22644.53,0-15
125,U001,100043975,JAVA co,14:07.2,2020,1930586661,00:00.0,00:00.0,00:00.0,NAA8,7212,0-15
126,U001,200769623,WAL-MAR llc,00:35.2,2020,1930692548,00:00.0,00:00.0,00:00.0,NAH4,15797.23,0-15
127,U001,200762301,C&S WH in,32:53.9,2020,1930630515,00:00.0,00:00.0,00:00.0,NAC6,2018.45,
128,U001,200769623,WAL-MAR foundation,40:18.6,2020,1930593446,00:00.0,00:00.0,00:00.0,NAH4,14706.98,0-15
129,U001,200729290,KROGER ,03:17.1,2020,1930599215,00:00.0,00:00.0,00:00.0,NAA8,115494.14,0-15
130,U001,200769623,WAL-MAR us,23:24.9,2020,1930827122,00:00.0,00:00.0,00:00.0,NAH4,1898.9,0-15
131,U001,200769623,WAL-MAR us,38:36.1,2020,1930750644,00:00.0,00:00.0,00:00.0,NAH4,37684.36,0-15
132,U001,200705372,FR corporation,57:23.2,2020,1930637990,00:00.0,00:00.0,00:00.0,NAA8,19961.05,0-15
133,U001,200769623,WAL-MAR llc,19:26.1,2020,1930675431,00:00.0,00:00.0,00:00.0,NAH4,11826.09,0-15
134,U001,200742791,QUI in,52:19.9,2020,1930603823,00:00.0,00:00.0,00:00.0,NAA8,24843.48,0-15
135,U001,200743996,STATER  corporation,27:19.4,2020,1930718352,00:00.0,00:00.0,00:00.0,NAA8,32224.05,0-15
136,U001,200769623,WAL-MAR us,43:27.5,2020,1930752522,00:00.0,00:00.0,00:00.0,NAH4,9937.06,0-15
137,U001,200759878,SA corporation,39:08.6,2020,1930752430,00:00.0,00:00.0,00:00.0,NAH4,12417.47,0-15
138,U001,200762301,C&S WH us,23:13.7,2020,1930584581,00:00.0,00:00.0,00:00.0,NAC6,4301.57,
139,U001,200769623,WAL-MAR ,30:29.0,2020,1930885637,00:00.0,00:00.0,00:00.0,NAH4,22549.83,0-15
140,U001,100043936,PAPA JO foundation,12:18.9,2020,1930627707,00:00.0,00:00.0,00:00.0,NA10,18145.19,
141,U001,200744019,TARG co,55:15.5,2020,1930748869,00:00.0,00:00.0,00:00.0,NAA8,97776,16-30
142,U001,200794332,COST ,32:14.5,2020,1930720706,00:00.0,00:00.0,00:00.0,NAAX,31599.18,
143,U001,200740393,LABAT ,59:02.5,2020,1930585380,00:00.0,00:00.0,00:00.0,NAA8,52645.42,0-15
144,U001,200769623,WAL-MAR systems,31:16.5,2020,1930671465,00:00.0,00:00.0,00:00.0,NAH4,21113.92,0-15
145,U001,200762301,C&S WH co,02:10.7,2020,1930577119,00:00.0,00:00.0,00:00.0,NAC6,137768.6,0-15
146,U001,200759878,SA in,39:08.6,2020,1930748365,00:00.0,00:00.0,00:00.0,NAH4,13548.66,0-15
147,U001,200759878,SA corporation,00:09.1,2020,1930825574,00:00.0,00:00.0,00:00.0,NAH4,35898.48,0-15
148,U001,200704858,WAKE llc,05:24.1,2020,1930655118,00:00.0,00:00.0,00:00.0,NAA8,109248.63,0-15
149,U001,200762301,C&S WH foundation,41:10.9,2020,1930654407,00:00.0,00:00.0,00:00.0,NAC6,7465.1,0-15
150,U001,200803720,DEC corporation,46:31.4,2020,1930872721,00:00.0,00:00.0,00:00.0,NAM2,4729.18,
151,U001,200078795,H T H llc,53:23.0,2020,1930861108,00:00.0,00:00.0,00:00.0,NAA8,1412.26,
152,U001,200519201,KROGE llc,54:55.8,2020,1930709582,00:00.0,00:00.0,00:00.0,NAA8,15477.22,0-15
153,U001,200744019,TARG corp,52:21.7,2020,1930753198,00:00.0,00:00.0,00:00.0,NAA8,19195.56,0-15
154,U001,200786288,FAMILY in,49:26.4,2020,1930759958,00:00.0,00:00.0,00:00.0,NAC6,66230.48,0-15
155,U001,200418007,AM systems,09:14.6,2020,1930732102,00:00.0,00:00.0,00:00.0,NAA8,47393.05,16-30
156,U001,200466603,SMITH'S systems,28:22.8,2020,1930664246,00:00.0,00:00.0,00:00.0,NAA8,142732.08,0-15
157,CA02,140106408,WAL-M associates,55:34.4,2020,2960622798,00:00.0,00:00.0,00:00.0,CA10,6536.1045,16-30
158,U001,200762301,C&S WH in,20:14.7,2020,1930721389,00:00.0,00:00.0,00:00.0,NAGD,7943.13,
159,U001,200761734,H E BUT associates,04:48.4,2020,1930632938,00:00.0,00:00.0,00:00.0,NAA8,91756.55,0-15
160,U001,200769623,WAL-MAR foundation,42:29.6,2020,1930611981,00:00.0,00:00.0,00:00.0,NAH4,24282.42,0-15
161,U001,200769623,WAL-MAR llc,31:16.5,2020,1930793187,00:00.0,00:00.0,00:00.0,NAH4,10903.6,0-15
162,U001,200769623,WAL-MAR us,50:08.0,2020,1930692727,00:00.0,00:00.0,00:00.0,NAH4,51516.27,0-15
163,U001,200744019,TARG us,06:20.2,2020,1930813045,00:00.0,00:00.0,00:00.0,NAA8,5887.21,0-15
164,U001,200726979,BJ'S  systems,55:27.7,2020,1930643416,00:00.0,00:00.0,00:00.0,NAA8,14149.02,0-15
165,U001,200706844,WINC co,48:59.7,2020,1930760026,00:00.0,00:00.0,00:00.0,NAA8,38905.5,0-15
166,U001,200418007,AM us,33:23.7,2020,1930650673,00:00.0,00:00.0,00:00.0,NAGD,1011.24,0-15
167,U001,200799367,MCL in,57:46.1,2020,1930720975,00:00.0,00:00.0,00:00.0,NAA8,124605.44,0-15
168,U001,200772595,SAFEW corporation,56:09.7,2020,1930705040,00:00.0,00:00.0,00:00.0,NAA8,32039.34,0-15
169,U001,200759878,SA llc,03:43.4,2020,1930700242,00:00.0,00:00.0,00:00.0,NAH4,50054.82,0-15
170,U001,CCU013,KRAFT F in,50:07.7,2020,1930570370,00:00.0,00:00.0,00:00.0,NAX2,37209.64,31-45
171,U001,200726979,BJ'S  in,13:15.3,2020,1930629390,00:00.0,00:00.0,00:00.0,NAA8,467.72,0-15
172,U001,200526831,PERISH associates,38:12.0,2020,1930666168,00:00.0,00:00.0,00:00.0,NAA8,134095.09,0-15
173,U001,200769623,WAL-MAR llc,26:35.8,2020,1930845835,00:00.0,00:00.0,00:00.0,NAH4,292.94,0-15
174,U001,100031704,DELHAIZE corp,02:24.4,2020,1930844129,00:00.0,00:00.0,00:00.0,NAA8,92271.69,0-15
175,U001,200769623,WAL-MAR in,09:47.7,2020,1930662779,00:00.0,00:00.0,00:00.0,NAH4,35023.47,0-15
176,U001,200020431,DEC systems,39:04.3,2020,1930599834,00:00.0,00:00.0,00:00.0,NAM4,4551.58,
177,U001,200726979,BJ'S  ,59:15.3,2020,1930730591,00:00.0,00:00.0,00:00.0,NAA8,261.84,
178,U001,200769623,WAL-MAR foundation,28:05.4,2020,1930652678,00:00.0,00:00.0,00:00.0,NAH4,33837.66,0-15
179,U001,200729942,SA ,10:21.8,2020,1930798198,00:00.0,00:00.0,00:00.0,NAA8,11696.53,0-15
180,U001,200705742,DOT systems,12:33.0,2020,1930810367,00:00.0,00:00.0,00:00.0,NAA8,8115.04,
181,U001,200777735,NASH  co,42:21.1,2020,1930670844,00:00.0,00:00.0,00:00.0,NAA8,152067.79,
182,U001,200020431,DEC us,22:57.3,2020,1930617742,00:00.0,00:00.0,00:00.0,NAM4,3117.84,
183,U001,200769623,WAL-MAR corp,27:04.6,2020,1930748572,00:00.0,00:00.0,00:00.0,NAH4,1898.2,0-15
184,U001,200759878,SA systems,58:19.5,2020,1930655535,00:00.0,00:00.0,00:00.0,NAH4,17060.17,0-15
185,U001,100004536,BAS ,39:54.9,2020,1930765834,00:00.0,00:00.0,00:00.0,NAA8,3745.49,0-15
186,U001,200769623,WAL-MAR corporation,49:26.5,2020,1930882579,00:00.0,00:00.0,00:00.0,NAH4,9163.34,0-15
187,CA02,140104409,LOB in,26:11.8,2020,2960624271,00:00.0,00:00.0,00:00.0,CA10,188352.0844,0-15
188,U001,200744019,TARG co,44:26.0,2020,1930652649,00:00.0,00:00.0,00:00.0,NAA8,1183.45,0-15
189,U001,200769623,WAL-MAR systems,05:03.6,2020,1930803693,00:00.0,00:00.0,00:00.0,NAH4,53859.97,0-15
190,CA02,140104423,METRO  corp,05:19.6,2020,2960624752,00:00.0,00:00.0,00:00.0,CA10,36142.9108,0-15
191,U001,200707822,PUBLI foundation,46:50.7,2020,1930801025,00:00.0,00:00.0,00:00.0,NAA8,61394.52,0-15
192,U001,200782669,SYGMA systems,51:31.1,2020,1930617473,00:00.0,00:00.0,00:00.0,NAA8,23298.58,0-15
193,U001,200705742,DOT corporation,39:02.2,2020,1930660872,00:00.0,00:00.0,00:00.0,NAAW,4041.99,
194,U001,200769623,WAL-MAR corp,19:26.1,2020,1930676006,00:00.0,00:00.0,00:00.0,NAH4,14666.28,0-15
195,U001,200780383,MEIJ foundation,11:04.1,2020,1930860645,00:00.0,00:00.0,00:00.0,NAA8,108570.13,0-15
196,U001,100031704,DELHAIZE trust,50:41.9,2020,1930796146,00:00.0,00:00.0,00:00.0,NAGD,16196.66,0-15
197,U001,200561861,CO llc,12:50.5,2020,1930774237,00:00.0,00:00.0,00:00.0,NAA8,23448.25,0-15
198,U001,200761734,H E BUT systems,25:18.9,2020,1930701257,00:00.0,00:00.0,00:00.0,NAA8,83095.78,
199,U001,200769623,WAL-MAR co,05:52.3,2020,1930724889,00:00.0,00:00.0,00:00.0,NAH4,5801.67,
200,U001,200769623,WAL-MAR us,19:26.1,2020,1930677295,00:00.0,00:00.0,00:00.0,NAH4,11515.66,0-15
201,U001,200900909,SYSCO in,24:34.2,2020,1930623159,00:00.0,00:00.0,00:00.0,NAA8,42647.01,0-15
202,U001,200726979,BJ'S  corporation,31:38.7,2020,1930665005,00:00.0,00:00.0,00:00.0,NAA8,810.96,0-15
203,U001,200769623,WAL-MAR systems,42:06.1,2020,1930719358,00:00.0,00:00.0,00:00.0,NAH4,24504.26,0-15
204,U001,200353024,DECA corporation,53:15.2,2020,1930875691,00:00.0,00:00.0,00:00.0,NAM4,889.08,
205,U001,200762950,HAR trust,20:16.9,2020,1930671888,00:00.0,00:00.0,00:00.0,NAA8,173239.52,0-15
206,U001,200561861,CO us,03:16.2,2020,1930764482,00:00.0,00:00.0,00:00.0,NAA8,30316.62,0-15
207,U001,200744019,TARG in,58:20.7,2020,1930647824,00:00.0,00:00.0,00:00.0,NAA8,17408.37,0-15
208,U001,200418007,AM foundation,09:31.7,2020,1930630519,00:00.0,00:00.0,00:00.0,NAA8,840.67,0-15
209,U001,200762301,C&S WH trust,33:05.1,2020,1930805217,00:00.0,00:00.0,00:00.0,NAC6,56261.98,0-15
210,U001,200772670,ASSOCIAT in,16:18.4,2020,1930723923,00:00.0,00:00.0,00:00.0,NAU5,1655.46,0-15
211,U001,200769623,WAL-MAR trust,17:27.8,2020,1930683228,00:00.0,00:00.0,00:00.0,NAH4,41629.12,0-15
212,U001,200744019,TARG corporation,09:38.0,2020,1930730322,00:00.0,00:00.0,00:00.0,NAA8,54651.53,0-15
213,U001,100047382,PETER  corporation,09:00.7,2020,1930637647,00:00.0,00:00.0,00:00.0,NAA8,17733.56,0-15
214,U001,CCU002,KRFT FDS associates,58:13.6,2020,1930637979,00:00.0,00:00.0,00:00.0,NAG2,10648.32,0-15
215,U001,200706844,WINC llc,06:37.0,2020,1930842076,00:00.0,00:00.0,00:00.0,NAA8,38169.79,0-15
216,U001,200762301,C&S WH ,04:56.3,2020,1930747271,00:00.0,00:00.0,00:00.0,NAC6,3939,
217,U001,CCCA02,KRAFT  associates,02:47.5,2020,1930662684,00:00.0,00:00.0,00:00.0,NAG2,29972.7,0-15
218,U001,200769623,WAL-MAR in,38:40.1,2020,1930751769,00:00.0,00:00.0,00:00.0,NAH4,56076.31,0-15
219,U001,200980828,BEN E associates,05:44.1,2020,1930838209,00:00.0,00:00.0,00:00.0,NAD1,17770.01,
220,U001,200744019,TARG ,15:31.1,2020,1930751781,00:00.0,00:00.0,00:00.0,NAA8,58607.34,0-15
221,U001,200769623,WAL-MAR corp,00:35.2,2020,1930688185,00:00.0,00:00.0,00:00.0,NAH4,16674.74,0-15
222,U001,200769623,WAL-MAR co,00:54.1,2020,1930843169,00:00.0,00:00.0,00:00.0,NAH4,32553,
